0.001 0.000290929 1.78753e-05 -1.65106e-05 0.000291945
0.002 -1.88255e-05 2.88517e-05 -1.57797e-06 3.44864e-05
0.003 -0.000278437 4.1118e-05 8.22935e-06 0.000281577
0.004 3.41088e-05 5.32384e-05 -1.14302e-06 6.3238e-05
0.005 0.000268631 6.00281e-05 -8.40919e-06 0.000275384
0.006 -4.66897e-05 6.57855e-05 1.43712e-06 8.06829e-05
0.007 -0.000257344 6.75549e-05 8.02307e-06 0.000266184
0.008 5.90319e-05 6.06823e-05 -1.85847e-06 8.46792e-05
0.009 0.000246046 5.55822e-05 -7.69389e-06 0.000252364
0.01 -7.03066e-05 5.20318e-05 2.1954e-06 8.74937e-05
0.011 -0.000234162 3.69286e-05 7.30174e-06 0.000237168
0.012 8.0687e-05 1.75764e-05 -2.53445e-06 8.2618e-05
0.013 0.000222389 7.22438e-06 -6.93549e-06 0.000222614
0.014 -8.98177e-05 -3.67919e-06 2.81453e-06 8.99371e-05
0.015 -0.000210184 -2.24354e-05 6.55891e-06 0.00021148
0.016 9.82117e-05 -3.90183e-05 -3.05991e-06 0.000105723
0.017 0.000198459 -4.77606e-05 -6.17608e-06 0.000204219
0.018 -0.000105085 -5.38757e-05 3.29272e-06 0.000118137
0.019 -0.000186348 -6.02258e-05 5.82672e-06 0.000195925
0.02 0.000112119 -6.64192e-05 -3.48419e-06 0.000130362
0.021 0.000175362 -6.64094e-05 -5.45724e-06 0.000187595
0.022 -0.000117427 -5.71398e-05 3.68316e-06 0.000130643
0.023 -0.000163196 -4.96958e-05 5.10751e-06 0.000170671
0.024 0.000123114 -4.62592e-05 -3.84027e-06 0.000131574
0.025 0.000152209 -3.46203e-05 -4.74421e-06 0.000156168
0.026 -0.000126689 -1.58272e-05 3.96781e-06 0.000127735
0.027 -0.000140271 -3.09637e-06 4.37861e-06 0.000140373
0.028 0.000130464 5.71361e-06 -4.07955e-06 0.000130653
0.029 0.000129088 1.95471e-05 -4.03053e-06 0.000130622
0.03 -0.000132609 3.4766e-05 4.13444e-06 0.000137153
0.031 -0.000117132 4.4828e-05 3.64326e-06 0.00012547
0.032 0.000135242 5.00868e-05 -4.23095e-06 0.000144281
0.033 0.000106691 5.34926e-05 -3.33926e-06 0.000119397
0.034 -0.000136412 5.74079e-05 4.24432e-06 0.00014806
0.035 -9.57409e-05 5.86736e-05 2.97881e-06 0.000112329
0.036 0.00013765 5.1489e-05 -4.30724e-06 0.000147028
0.037 8.56267e-05 4.2088e-05 -2.68567e-06 9.54492e-05
0.038 -0.000137713 3.57033e-05 4.29405e-06 0.000142331
0.039 -7.5357e-05 2.56313e-05 2.35098e-06 7.96315e-05
0.04 0.000137606 9.87649e-06 -4.29939e-06 0.000138027
0.041 6.57132e-05 -3.63561e-06 -2.05078e-06 6.58457e-05
0.042 -0.000136418 -1.45722e-05 4.26363e-06 0.000137261
0.043 -5.5572e-05 -2.68989e-05 1.73941e-06 6.17642e-05
0.044 0.000135323 -3.83422e-05 -4.21448e-06 0.000140713
0.045 4.6926e-05 -4.7033e-05 -1.45066e-06 6.64549e-05
0.046 -0.000132866 -5.34759e-05 4.15735e-06 0.000143284
0.047 -3.80192e-05 -5.62699e-05 1.19793e-06 6.79205e-05
0.048 0.000131255 -5.61482e-05 -4.08137e-06 0.000142819
0.049 3.08478e-05 -5.46038e-05 -9.50801e-07 6.27222e-05
0.05 -0.000128219 -4.93308e-05 4.01086e-06 0.00013744
0.051 -2.25691e-05 -4.0734e-05 7.1639e-07 4.6574e-05
0.052 0.00012587 -3.10655e-05 -3.92002e-06 0.000129706
0.053 1.54795e-05 -1.95871e-05 -4.78829e-07 2.497e-05
0.054 -0.000122067 -6.83318e-06 3.81287e-06 0.000122317
0.055 -7.67357e-06 4.52819e-06 2.38819e-07 8.9132e-06
0.056 0.000118992 1.62224e-05 -3.71847e-06 0.00012015
0.057 1.14905e-06 2.89785e-05 -3.81441e-08 2.90013e-05
0.058 -0.000114692 3.75635e-05 3.57377e-06 0.00012074
0.059 5.37891e-06 4.23274e-05 -1.80374e-07 4.26682e-05
0.06 0.000110996 4.75791e-05 -3.47345e-06 0.000120814
0.061 -1.05416e-05 5.12788e-05 3.21769e-07 5.23521e-05
0.062 -0.000106437 4.91062e-05 3.31048e-06 0.000117266
0.063 1.61282e-05 4.38262e-05 -5.14218e-07 4.67025e-05
0.064 0.000102364 3.84358e-05 -3.20135e-06 0.000109389
0.065 -2.06893e-05 3.16988e-05 6.40887e-07 3.78586e-05
0.066 -9.75717e-05 2.18186e-05 3.04214e-06 0.000100028
0.067 2.57475e-05 8.98235e-06 -8.049e-07 2.72812e-05
