Time outerCorrector residual
0.0054 3 0.0235656
0.0054 4 0.0137524
0.0054 5 0.00568301
0.0054 6 0.000940458
0.0054 7 0.000229805
0.0054 8 0.000134939
0.0054 9 3.98903e-05
0.0056 1 0.548371
0.0056 2 0.547841
0.0056 3 0.0383503
0.0056 4 0.0305756
0.0056 5 0.0177106
0.0056 6 0.00167125
0.0056 7 0.000449909
0.0056 8 8.97265e-05
0.0058 1 1
0.0058 2 0.999014
0.0058 3 0.0735923
0.0058 4 0.0782061
0.0058 5 0.031269
0.0058 6 0.00162192
0.0058 7 0.00058475
0.0058 8 0.00011288
0.0058 9 6.24433e-05
0.006 1 1
0.006 2 0.999026
0.006 3 0.0890669
0.006 4 0.118616
0.006 5 0.0273108
0.006 6 0.000745699
0.006 7 0.000514135
0.006 8 0.000377058
0.006 9 0.000290936
0.006 10 4.07383e-05
0.0062 1 0.576213
0.0062 2 0.575652
0.0062 3 0.0624728
0.0062 4 0.0905975
0.0062 5 0.0156588
0.0062 6 0.000854583
0.0062 7 0.000569765
0.0062 8 0.000240737
0.0062 9 9.37382e-05
0.0064 1 0.339748
0.0064 2 0.339473
0.0064 3 0.0450549
0.0064 4 0.0681924
0.0064 5 0.00985698
0.0064 6 0.000844322
0.0064 7 0.000520262
0.0064 8 0.000297918
0.0064 9 5.96132e-05
0.0066 1 0.197261
0.0066 2 0.197134
0.0066 3 0.0338501
0.0066 4 0.0524784
0.0066 5 0.0064042
0.0066 6 0.000808681
0.0066 7 0.000441504
0.0066 8 0.00022108
0.0066 9 2.98892e-05
0.0068 1 0.0878263
0.0068 2 0.0877766
0.0068 3 0.024869
0.0068 4 0.0364371
0.0068 5 0.00371069
0.0068 6 0.000700641
0.0068 7 0.000336495
0.0068 8 0.000138376
0.0068 9 1.38922e-05
0.007 1 0.0215749
0.007 2 0.0220847
0.007 3 0.0186793
0.007 4 0.0110632
0.007 5 0.00086645
0.007 6 0.000335234
0.007 7 0.00012624
0.007 8 6.26403e-05
0.0072 1 0.13664
0.0072 2 0.136505
0.0072 3 0.0141253
0.0072 4 0.0180412
0.0072 5 0.0037068
0.0072 6 0.000413194
0.0072 7 0.000245335
0.0072 8 3.44574e-05
